Pair	WNT5A:FZD6	NRG1:NETO2	EFNB1:EPHB2	EPHB2:EFNB3	WNT2:FZD4	VEGFA:EPHB2	CXCL12:CXCR4	CXCL12:ACKR3	CER1:MRC2	BMP8B:PLAUR	APLN:APLNR	WNT7B:FZD4	L1CAM:L1CAM	CKLF:LRP6	SIRPA:CD47	WNT2:FZD1	JAG1:NOTCH3	CXCL12:DPP4	DLL1:NOTCH1	COPA:SORT1	GRN:SORT1	VEGFA:NRP1	JAG1:NOTCH1	WNT7B:FZD1	PTN:PLXNB2	EFNA1:EPHA4	DLL1:NOTCH3	FGFR2:FGFR3	SEMA4G:PLXNB2	LEFTY2:TDGF1	LEFTY1:TDGF1	EPHA4:EFNB3	VEGFA:GRIN2B	APELA:APLNR	GAS6:MERTK	FN1:a3b1 complex	LAMC1:a7b1 complex	WNT2:FZD3	FGF3:FGFR3	SEMA6D:PlexinA1 complex1	NECTIN3:PVR	ERBB3:NRG1	NRG1:LSR	DLK1:NOTCH1	FGF3:FGFR4	FN1:aVb5 complex	L1CAM:a5b1 complex	EFNA1:EPHA2	EFNA5:EPHB2	FGFR1:NCAM1	EPHB2:EFNB2	SEMA3F:NRP2	FGF3:FGFR2	BMP7:SLAMF1	IGF2:IGF1R	WNT2:FZD2	DSC2:DSG2	GRN:TNFRSF1A	NRG1:LGR4	DLL3:NOTCH3	BMP2:BMR1A ACR2A	EFNB1:EPHB3	EPHB3:EFNB3	DLL3:NOTCH1	PTN:PTPRS	TIMP1:FGFR2	BMP7:BMPR1A BMPR2	WNT3:FZD1	PLXNB2:SEMA4D	EFNB1:EPHA4	PLXNB2:SEMA4C	VEGFA:KDR	WNT5A:FZD1	TNFSF12:TNFRSF12A	FGFR3:EPHA4	PROS1:TYRO3	VEGFA:FLT1	DLL1:NOTCH2	FGFR3:NECTIN1	JAG1:NOTCH2	DLK1:NOTCH2	FGF5:FGFR3	EPHB4:EFNB3	DLK1:NOTCH3	VEGFA:FLT1 complex	WNT5A:FZD3	BMP7:ACVR 1A2B receptor	NECTIN3:NECTIN2	WNT5A:FZD5	BMP7:PTPRK	BMP7:ACVR1 BMPR2	FGF3:FGFR1	FN1:a5b1 complex	FGFR4:EPHA4	FGFR2:NECTIN1	FN1:aVb1 complex	BMP7:ACVR 1A2A receptor	WNT5A:FZD2	BMP7:BMR1A ACR2A	IGF2:IGF2R	IGF2:IDE	TGFB1:TGFBR3	EFNA1:EPHA1	VEGFB:FLT1	VEGFB:FLT1 complex	NODAL:NODAL receptor	EFNB1:EPHB4	BMP2:BMPR1A BMPR2	GAS6:TYRO3	FAM3C:LAMP1	FGF10:FGFR2	EFNA2:EPHA4	EFNA5:EPHA4	FGFR2:XPR1	FGF8:FGFR3	WNT5A:ROR2	WNT5A:PTPRK	FGF5:FGFR4	ADGRL1:NRG1	FGF10:FGFR1	DLL3:NOTCH2	FGF5:FGFR2	VEGFB:NRP1	FGFR2:EPHA4	VEGFA:NRP2	NECTIN3:NECTIN1	TTR:DDR1	PLXNB1:SEMA4D	JAM3:JAM3	BMP4:BMR1A ACR2A	LAMC1:a6b1 complex	BMP4:BMR1A AVR2B	BMP4:BMPR1A BMPR2	EFNB2:EPHB4	FGF8:FGFR4	BMP2:SMO	EFNA4:EPHA4	EFNA3:EPHA4	RSPO3:LGR4	BMP2:BMR1A AVR2B	FGF8:FGFR2	PDGFA:PDGFRA	EFNB2:EPHA4	EFNA3:EPHA2	EFNB2:EPHB3	EFNA4:EPHA2	BMP7:BMR1A AVR2B	FGFR1:FGFR2	FAM3C:CXADR	EFNA2:EPHA2	EFNA3:EPHA1	EFNA5:EPHA2	WNT3:FZD7	MDK:LRP1	MDK:SORL1	FGF5:FGFR1	EFNA4:EPHA1	FGF8:FGFR1	EFNA5:EPHA1	CADM1:NECTIN3	EFNA2:EPHA1	CADM1:CADM1
WNT5A:FZD6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.6567398119122256	1	0.6846652267818575	1	1	1	0.7873270211216314	1	0.6685584562996595	1	1	1	1	1	0.7652733118971061	1	1	0.7678571428571428	1	1	1	1	1	1	1	1	1	1	0.7576470588235295	1	1	1	1	1	1	1	1	1	1	0.7662753468516542	1	0.762987012987013	1	1	1	1	1	1	0.839344262295082	0.8886912325285896	0.8750356633380884	0.8402917046490428	0.839344262295082	0.8635514018691589	0.9670056497175141	1	1	0.9656874265569918	0.8390177353342428	0.8031460674157304	0.8390177353342428	1	1	0.8531433361274099	1	1	1	1	1	1	1	1	0.8717228464419476	0.8654377880184332	0.8654377880184332	1	0.9068283343969368	0.8469601677148847	0.8843106180665611	1	0.8337147215865751	1	0.8862337662337663	1	0.8693574083908657	1	1	0.8802021403091558	1	1	1	0.9010344827586207	1	1	0.8800475059382423	0.8979423868312756	0.9414712367207857	1	0.9282555282555283	0.9384831460674157	0.9383098591549295	1	0.9428943937418512	1	0.9229551451187336	0.9243523316062177	0.9151116951379763	0.9081761006289308	0.923104563420769	0.9268048128342247	1	0.9154179154179154	0.9313264346190029	0.9225753871230644	0.924116424116424	0.9902731512325117	0.9900286846059282	1	1	0.962920634920635	0.9474412171507607	0.9421209117938553	0.9474412171507607	0.9383966244725739
NRG1:NETO2	1	0	1	1	1	1	1	1	1	1	0.6859279401767504	1	1	1	1	1	1	1	1	0.8315098468271335	0.7320185614849188	0.6944444444444444	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.823394495412844	1	1	1	1	1	1	1	1	1	1	0.9417108251324754	1	1	0.8375527426160337	1	1	1	0.9164254703328509	1	1	1	1	1	1	1	0.9311680572109654	0.8552631578947368	0.9400622729631551	1	1	0.8466135458167331	0.7568421052631579	0.8656976744186047	1	0.7618556701030927	1	0.8760729613733905	1	0.793010752688172	0.8519230769230769	0.8656976744186047	1	1	1	1	1	1	1	1	0.8809278350515465	1	1	0.8008620689655173	1	0.8008620689655173	0.9613389121338912	0.9615480649188515	1	1	0.8744565217391305	0.8744565217391305	1	0.9354748603351956	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8955696202531646	0.9006024096385542	0.9379699248120301	0.894808743169399	1	1	1	1	0.9175	1	1	1	1	0.9456214689265536	1	1	1	0.9508510638297872	1	1	0.9333333333333333	1	1	1	0.9474999999999999	1	0.965289256198347	1	1	1	0.9573170731707318	1	1	1	1	1	1	1	1	1
EFNB1:EPHB2	1	1	0	1	1	0.421020282728949	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5053487376979033	0.6320393657736467	1	1	1	1	1	1	1	1	1	1	1	0.6989117291414753	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8630011454753723	0.7840664985523489	1	1	1	0.837037037037037	1	1	0.7510766580534023	1	1	1	1	1	1	0.832374928119609	0.7580577647551276	0.8342972816657027	1	1	1	1	0.8918644067796611	0.8500908540278619	1	0.8820224719101124	1	1	1	1	0.8263692828910221	0.8500908540278619	1	1	1	1	1	1	1	1	1	0.9244912280701755	1	1	1	1	0.8549105742077188	0.8685990338164251	1	1	1	1	1	0.8043165467625899	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9332593532022828	0.9943662520955983	1	1	1	0.9069799022270505	1	1	1	1	0.914275593340418	1	1	1	0.9170632911392405	1	1	1	1	1	1	0.9326599326599326	1	0.9140676841406769	1	1	1	0.9450889404485693	1	1	1	0.9488363830165216	1	1	1	1	1
EPHB2:EFNB3	1	1	1	0	1	1	0.4726609963547996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7444051825677267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8460992907801419	0.7233906947100063	0.8058165548098435	1	1	1	1	1	1	1	1	1	1	0.7556306306306306	1	0.78125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7762886597938145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.882225237449118	0.882225237449118	1	1	1	1	1	1	0.8982653539615565	0.9059384482011271	1	1	1	1	1	1	1	1	1	0.9020537124802528	1	1	1	1	1	0.9195103857566765	1	1	1	1	1	1	1	1	1	1	1	1	0.965112540192926	0.9376436781609195	1	1	1	1	1	1	1	1	1	0.9595451155853841	0.9951434582158364	1	0.9852541451481381	1	0.9846832539262397	0.9461204220980758	0.9792145593869732	0.9395963813500348	0.9803442028985507
WNT2:FZD4	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7168913560666138	1	0.741585233441911	1	1	1	0.8146417445482866	1	0.6766304347826088	1	1	1	1	1	0.7969283276450513	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7711538461538462	1	1	1	1	1	1	1	1	1	1	0.758130081300813	1	0.7537931034482759	1	1	1	1	1	1	0.8045845272206303	0.8910755148741419	0.8266990291262136	0.8300000000000001	0.8045845272206303	0.8840909090909091	0.9723470178156468	1	1	0.9715877437325904	0.8196923076923077	1	0.8196923076923077	1	1	0.8356731875719218	1	1	1	1	1	1	1	0.9734127722956618	0.8523140925637026	1	1	1	0.9233247422680413	1	0.8814741035856574	1	0.8635321100917431	1	0.8867924528301886	1	1	1	1	1	1	0.9038793103448276	1	0.8890186915887851	1	1	0.8843911917098446	0.8973695558430358	0.9496296296296296	1	1	0.9303414634146341	0.9440438871473354	1	0.9511961722488038	0.936021505376344	1	0.9304771178188899	1	1	0.9122529644268774	0.9361759184768034	1	0.9125264270613108	0.9395939086294417	0.9198158914728682	0.924778761061947	0.9918077929230346	0.9917976288944031	1	1	0.9687458962573867	0.9404651162790697	0.9519677093844602	0.9403508771929824	1
VEGFA:EPHB2	1	1	0.421020282728949	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7148910411622276	0.5882867132867133	1	1	1	1	1	1	1	1	1	1	1	0.5139318885448917	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7411255411255411	0.8911234396671289	1	1	1	0.704930966469428	1	1	0.856139279169212	1	1	1	1	1	1	0.7765654648956357	0.8617957746478874	0.7744252873563219	1	1	1	1	0.7981012658227848	0.7562111801242236	1	0.7844202898550725	1	1	1	1	0.7831491712707183	0.7562111801242236	1	1	1	1	1	1	1	1	1	0.8545945945945945	1	1	1	1	0.9247002398081534	0.9335215243472124	1	1	1	1	1	0.8877234803337306	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8820067264573991	0.9976735226127675	1	1	1	0.8981401384083045	1	1	1	1	0.9125591757170705	1	1	1	0.9269767441860465	1	1	1	1	1	1	0.9255982939736197	1	0.943174277613561	1	1	1	0.924446583253128	1	1	1	0.9307912717654838	1	1	1	1	1
CXCL12:CXCR4	1	1	1	0.4726609963547996	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5105008077544426	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.6960120391271633	0.7763157894736842	0.689594356261023	1	1	1	1	1	1	1	1	1	1	0.8637454981992797	1	0.8423728813559321	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8466819221967963	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8152753108348134	0.8152753108348134	1	1	1	1	1	1	0.8503030303030302	0.841105354058722	1	1	1	1	1	1	1	1	1	0.8837014257757898	1	1	1	1	1	0.8925211665098777	1	1	1	1	1	1	1	1	1	1	1	1	0.925780771586038	0.911705069124424	1	1	1	1	1	1	1	1	1	0.921278254091972	0.9871107708014293	1	0.9648583606367248	1	0.9645302897278314	0.9539236861051116	0.9546322290847838	0.9597542242703533	0.9565824825362709
CXCL12:ACKR3	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0.7431472081218274	1	1	1	1	1	1	0.5070140280561122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8619456366237482	0.8624641833810889	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8773035887487876	1	1	1	1	1	0.8656934306569344	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8466666666666667	0.8544722461892436	1	0.9000197589409208	1	1	0.9218774123822757	0.8448328733517325	1	1	0.9287825475017594	0.8754578754578753	1	1	1	1	1	1	1	1	1	1	1	0.9369352526952078	1	0.9151006711409396	0.901937984496124	1	1	0.9388149939540508	0.9124567474048442	0.9068139963167587	1	1	1	1	0.922689075630252	1	0.9284935687813385	1	0.9277715565509519	1	0.9891462891462891	0.9888830301432464	0.9623931623931624	1	0.9601966568338249	0.9512113617376775	0.9554675467546755	0.9579612088407757	0.9535992663915636
CER1:MRC2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5728674850487881	1	0.7949619214997071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8917695473251029	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8638069705093834	1	1	1	1	1	1	1	0.9114614918132201	1	1	1	1	0.8591847538380095	1	0.9425962165688193	1	1	1	1	1	1	1	1	0.9358910891089108	1	1	0.8876523582405935	1	1	1	1	1	1	1	0.8802271553949407	1	0.8590930787589499	0.9332105586249233	1	1	1	1	1	1	0.9558823529411765	1	1	1	0.8916481505685532	1	1	1	1	1	0.9478134110787172	0.9933544241806891	1	1	1	0.903715450838242	1	1	1	1	0.8974901856997928	1	1	0.9235883424408013	0.9039050535987749	1	1	1	1	1	0.94375	1	1	0.9244381802521336	1	0.9584947426674045	0.9652089407191449	0.9445810788653878	0.9723580216735924	0.9721435316336167	0.9392052327404686	0.9455677655677656	0.9372848064702485	0.9605604566683965	1	1	0.9451626898047721
BMP8B:PLAUR	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.6247394023627519	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8708791208791209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8797927461139896	1	1	1	1	1	1	1	1	1	1	0.8746518105849582	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9202395964691047	1	0.9137931034482758	1	0.9261891744122471	0.9142312579415501	0.8949652777777778	1	1	1	1	1	1	0.9244755244755245	1	1	0.9035714285714287	0.9009174311926605	0.9126213592233009	0.9240953221535745	0.9482436382805386	0.9357028040721557	1	0.9209833187006146	1	1	1	1	1	0.9338032485442844	1	1	0.9349005424954792	0.9562189054726369	0.9525379037574159
